chromosome	nSites	nMatches	percentMatches	accByChance	individual_iteration	coverage	nFounders	Ne	mu	population_iteration	population
2L	860266	860197	0.999919792250304	0.824349272700032	9	0.005X	128	NA	NA	1	dgrp
2R	686419	682984	0.99499576789104	0.832189508726913	9	0.005X	128	NA	NA	1	dgrp
3L	836743	831621	0.993878646131488	0.834419105025795	9	0.005X	128	NA	NA	1	dgrp
3R	841414	827749	0.983759481064018	0.835483489014466	9	0.005X	128	NA	NA	1	dgrp
X	490953	490738	0.999562076206887	0.829275250212111	9	0.005X	128	NA	NA	1	dgrp
2L	842844	839573	0.99611909202652	0.828339207670074	10	0.005X	128	NA	NA	1	dgrp
2R	697807	697807	1	0.831186321755697	10	0.005X	128	NA	NA	1	dgrp
3L	839851	835451	0.994760975458742	0.836345430843839	10	0.005X	128	NA	NA	1	dgrp
3R	847571	844156	0.995970839021156	0.835491608888611	10	0.005X	128	NA	NA	1	dgrp
X	497771	0	0	0.827796910541627	10	0.005X	128	NA	NA	1	dgrp
2L	879933	867785	0.986194403437534	0.822160265413258	1	0.005X	128	NA	NA	10	dgrp
2R	705538	705250	0.999591800866856	0.82686926991139	1	0.005X	128	NA	NA	10	dgrp
3L	833985	831839	0.997426812232834	0.833331088327128	1	0.005X	128	NA	NA	10	dgrp
3R	830339	830339	1	0.836623082769163	1	0.005X	128	NA	NA	10	dgrp
X	489428	486789	0.994607991369517	0.829966622846596	1	0.005X	128	NA	NA	10	dgrp
2L	874843	859227	0.982149940046385	0.822683493894378	2	0.005X	128	NA	NA	10	dgrp
2R	707492	706754	0.998956878664352	0.827416549103316	2	0.005X	128	NA	NA	10	dgrp
3L	848049	844569	0.99589646352982	0.832361633429983	2	0.005X	128	NA	NA	10	dgrp
3R	841007	824142	0.979946659183574	0.836501760744422	2	0.005X	128	NA	NA	10	dgrp
X	498208	0	0	0.827796887557478	2	0.005X	128	NA	NA	10	dgrp
2L	834672	827266	0.991127053501256	0.830085731822183	3	0.005X	128	NA	NA	10	dgrp
2R	708431	707756	0.999047190199187	0.827295667750392	3	0.005X	128	NA	NA	10	dgrp
3L	827853	824208	0.995597044402811	0.832573613612135	3	0.005X	128	NA	NA	10	dgrp
3R	842616	834372	0.990216183884474	0.834643795255674	3	0.005X	128	NA	NA	10	dgrp
X	482989	0	0	0.829625247581619	3	0.005X	128	NA	NA	10	dgrp
2L	860734	854574	0.992843317447667	0.825903496551173	4	0.005X	128	NA	NA	10	dgrp
2R	703723	701102	0.996275523181706	0.828627709860805	4	0.005X	128	NA	NA	10	dgrp
3L	835563	835542	0.999974867245199	0.834972691470989	4	0.005X	128	NA	NA	10	dgrp
3R	838582	837694	0.998941069567436	0.835752083264334	4	0.005X	128	NA	NA	10	dgrp
X	496627	494432	0.995580183920729	0.82810141423158	4	0.005X	128	NA	NA	10	dgrp
2L	855202	846799	0.990174251229534	0.823823498338772	5	0.005X	128	NA	NA	10	dgrp
2R	698706	698706	1	0.827757761428883	5	0.005X	128	NA	NA	10	dgrp
3L	842753	842553	0.999762682541622	0.832413463188803	5	0.005X	128	NA	NA	10	dgrp
3R	845220	843632	0.998121199214406	0.835409221855332	5	0.005X	128	NA	NA	10	dgrp
X	491201	488672	0.994851394846509	0.828529091897117	5	0.005X	128	NA	NA	10	dgrp
2L	853904	848732	0.993943113043152	0.824948352409292	6	0.005X	128	NA	NA	10	dgrp
2R	698635	695471	0.995471168779119	0.829780424914394	6	0.005X	128	NA	NA	10	dgrp
3L	855113	844255	0.987302262975771	0.832195460800403	6	0.005X	128	NA	NA	10	dgrp
3R	851209	844155	0.991712963561241	0.83520065013181	6	0.005X	128	NA	NA	10	dgrp
X	495516	493021	0.994964844727516	0.828183253731904	6	0.005X	128	NA	NA	10	dgrp
2L	841560	839287	0.997299063643709	0.826027533991478	7	0.005X	128	NA	NA	10	dgrp
2R	702832	695100	0.988998793452774	0.827341924274859	7	0.005X	128	NA	NA	10	dgrp
3L	807345	806275	0.998674668202565	0.841650622007008	7	0.005X	128	NA	NA	10	dgrp
3R	832486	824838	0.990813058718105	0.838841668521388	7	0.005X	128	NA	NA	10	dgrp
X	487851	0	0	0.829623719651593	7	0.005X	128	NA	NA	10	dgrp
2L	868030	861776	0.992795179890096	0.823114510925714	8	0.005X	128	NA	NA	10	dgrp
2R	705318	704970	0.999506605531122	0.827425964255994	8	0.005X	128	NA	NA	10	dgrp
3L	834721	823847	0.986972892739011	0.835882621573397	8	0.005X	128	NA	NA	10	dgrp
3R	856891	855441	0.99830783611918	0.833697639440687	8	0.005X	128	NA	NA	10	dgrp
X	501301	499986	0.997376825500049	0.827354795596932	8	0.005X	128	NA	NA	10	dgrp
2L	844281	836154	0.990374057926212	0.825185186065997	9	0.005X	128	NA	NA	10	dgrp
2R	698744	696923	0.997393895332196	0.828720002775412	9	0.005X	128	NA	NA	10	dgrp
3L	857260	857260	1	0.830647895347036	9	0.005X	128	NA	NA	10	dgrp
3R	846820	841213	0.993378758177653	0.834375347528421	9	0.005X	128	NA	NA	10	dgrp
X	492013	0	0	0.829469715956109	9	0.005X	128	NA	NA	10	dgrp
2L	863467	862317	0.998668159871773	0.824471919694174	10	0.005X	128	NA	NA	10	dgrp
2R	702855	698217	0.993401199393901	0.827886171569849	10	0.005X	128	NA	NA	10	dgrp
3L	844733	823043	0.974323247700753	0.833963487770539	10	0.005X	128	NA	NA	10	dgrp
3R	840487	837839	0.996849445619028	0.836005588532904	10	0.005X	128	NA	NA	10	dgrp
X	470799	470799	1	0.830332966676009	10	0.005X	128	NA	NA	10	dgrp
2L	871526	862759	0.989940632866948	0.823450850646534	1	0.005X	128	NA	NA	2	dgrp
2R	705815	701229	0.993502546701331	0.827969212707021	1	0.005X	128	NA	NA	2	dgrp
3L	847476	847450	0.999969320665128	0.832077827015693	1	0.005X	128	NA	NA	2	dgrp
3R	838058	832736	0.993649604204005	0.835281250732018	1	0.005X	128	NA	NA	2	dgrp
X	470199	466089	0.991259020117014	0.831536678198433	1	0.005X	128	NA	NA	2	dgrp
2L	873301	863599	0.988890428386089	0.822890120858607	2	0.005X	128	NA	NA	2	dgrp
2R	698603	690867	0.98892647183021	0.828787253579101	2	0.005X	128	NA	NA	2	dgrp
3L	851428	844793	0.99220720953504	0.833386844410264	2	0.005X	128	NA	NA	2	dgrp
3R	850246	846560	0.995664784074256	0.835087368672717	2	0.005X	128	NA	NA	2	dgrp
X	486603	0	0	0.831915004851535	2	0.005X	128	NA	NA	2	dgrp
2L	842523	829142	0.984117940993896	0.826608011568644	3	0.005X	128	NA	NA	2	dgrp
2R	693069	692859	0.999696999865814	0.828479703599255	3	0.005X	128	NA	NA	2	dgrp
3L	851843	846090	0.993246408082241	0.831547726794802	3	0.005X	128	NA	NA	2	dgrp
3R	855891	855369	0.999390109254566	0.833477343745091	3	0.005X	128	NA	NA	2	dgrp
X	485968	483082	0.994061337372008	0.829582692286368	3	0.005X	128	NA	NA	2	dgrp
2L	870560	866901	0.995796958279728	0.823477516456318	4	0.005X	128	NA	NA	2	dgrp
2R	707062	702758	0.993912839326679	0.827947635053886	4	0.005X	128	NA	NA	2	dgrp
3L	844210	830751	0.98405728432499	0.83360713002958	4	0.005X	128	NA	NA	2	dgrp
3R	845944	845894	0.999940894432728	0.8346929108862	4	0.005X	128	NA	NA	2	dgrp
X	492043	0	0	0.829418685734041	4	0.005X	128	NA	NA	2	dgrp
2L	875327	872303	0.996545291074079	0.822719923116809	5	0.005X	128	NA	NA	2	dgrp
2R	717097	711828	0.992652319002869	0.825923442787944	5	0.005X	128	NA	NA	2	dgrp
3L	864326	854604	0.988751929248918	0.830393017107505	5	0.005X	128	NA	NA	2	dgrp
3R	854176	852192	0.997677293672498	0.833182442658153	5	0.005X	128	NA	NA	2	dgrp
X	483994	0	0	0.829938617935335	5	0.005X	128	NA	NA	2	dgrp
2L	869280	869280	1	0.822551919115934	6	0.005X	128	NA	NA	2	dgrp
2R	709922	709922	1	0.826380577277752	6	0.005X	128	NA	NA	2	dgrp
3L	858494	853463	0.994139737726763	0.830879879161872	6	0.005X	128	NA	NA	2	dgrp
3R	854318	853438	0.998969938594294	0.834096175481068	6	0.005X	128	NA	NA	2	dgrp
X	486277	482632	0.992504272256348	0.828875579136463	6	0.005X	128	NA	NA	2	dgrp
2L	848588	845312	0.996139469330229	0.826386645473012	7	0.005X	128	NA	NA	2	dgrp
2R	700146	698794	0.998068974185384	0.828535863348861	7	0.005X	128	NA	NA	2	dgrp
3L	859074	845913	0.984680015924123	0.830839900034372	7	0.005X	128	NA	NA	2	dgrp
3R	850692	850593	0.999883624155393	0.8338769701681	7	0.005X	128	NA	NA	2	dgrp
X	483383	482708	0.998603591768846	0.830378584747063	7	0.005X	128	NA	NA	2	dgrp
2L	875814	872441	0.996148725642659	0.82297154227107	8	0.005X	128	NA	NA	2	dgrp
2R	713579	705089	0.988102228344724	0.826009768623717	8	0.005X	128	NA	NA	2	dgrp
3L	806541	806124	0.999482977306795	0.842546836736826	8	0.005X	128	NA	NA	2	dgrp
3R	836927	833393	0.995777409499275	0.838811807904385	8	0.005X	128	NA	NA	2	dgrp
X	500422	0	0	0.827514358464919	8	0.005X	128	NA	NA	2	dgrp
2L	846510	833117	0.984178568475269	0.826051315975087	9	0.005X	128	NA	NA	2	dgrp
2R	714796	709796	0.993004997229979	0.826631557925862	9	0.005X	128	NA	NA	2	dgrp
3L	858844	852428	0.992529493132629	0.831171789255818	9	0.005X	128	NA	NA	2	dgrp
3R	836730	833240	0.995829000991957	0.835119857110993	9	0.005X	128	NA	NA	2	dgrp
X	491899	0	0	0.82910701748196	9	0.005X	128	NA	NA	2	dgrp
2L	843451	841591	0.997794774088833	0.826715206304897	10	0.005X	128	NA	NA	2	dgrp
2R	699921	699921	1	0.830171884633031	10	0.005X	128	NA	NA	2	dgrp
3L	855154	855154	1	0.832408474665318	10	0.005X	128	NA	NA	2	dgrp
3R	848986	845866	0.996325027738973	0.833901242710557	10	0.005X	128	NA	NA	2	dgrp
X	491487	485704	0.988233666404198	0.828984192903238	10	0.005X	128	NA	NA	2	dgrp
2L	852753	846014	0.992097359962381	0.824375507397464	1	0.005X	128	NA	NA	3	dgrp
2R	695386	688813	0.99054769581211	0.828367194901264	1	0.005X	128	NA	NA	3	dgrp
3L	852713	844982	0.990933643558853	0.831337993779405	1	0.005X	128	NA	NA	3	dgrp
3R	836744	834341	0.997128153891752	0.83481525345651	1	0.005X	128	NA	NA	3	dgrp
X	496637	492115	0.990894758143272	0.828065679715135	1	0.005X	128	NA	NA	3	dgrp
2L	871624	865654	0.993150716363937	0.822839773353632	2	0.005X	128	NA	NA	3	dgrp
2R	708711	705616	0.995632916661375	0.826796467694169	2	0.005X	128	NA	NA	3	dgrp
3L	860373	856813	0.995862259740833	0.831135528582545	2	0.005X	128	NA	NA	3	dgrp
3R	848265	844709	0.995807913800522	0.835389709099515	2	0.005X	128	NA	NA	3	dgrp
X	495654	495424	0.999535966621877	0.828346042025322	2	0.005X	128	NA	NA	3	dgrp
2L	866345	859221	0.991776947982617	0.824196131721619	3	0.005X	128	NA	NA	3	dgrp
2R	707388	698351	0.987224832765045	0.827274392090181	3	0.005X	128	NA	NA	3	dgrp
3L	871281	871281	1	0.829914652825165	3	0.005X	128	NA	NA	3	dgrp
3R	858078	852817	0.993868855745049	0.833194631418514	3	0.005X	128	NA	NA	3	dgrp
X	489119	0	0	0.829460157953169	3	0.005X	128	NA	NA	3	dgrp
2L	852243	852243	1	0.824324551069354	4	0.005X	128	NA	NA	3	dgrp
2R	694683	691279	0.995099923274357	0.827985016434989	4	0.005X	128	NA	NA	3	dgrp
3L	851769	847867	0.995418945747028	0.833080750987654	4	0.005X	128	NA	NA	3	dgrp
3R	853653	853417	0.999723541064109	0.83439084316191	4	0.005X	128	NA	NA	3	dgrp
X	465777	461900	0.991676274268588	0.83275009425233	4	0.005X	128	NA	NA	3	dgrp
2L	846155	824921	0.974905306947309	0.827113816769677	5	0.005X	128	NA	NA	3	dgrp
2R	573697	573587	0.999808261155279	0.864012233917258	5	0.005X	128	NA	NA	3	dgrp
3L	853242	847530	0.993305533482881	0.831492740521133	5	0.005X	128	NA	NA	3	dgrp
3R	838256	838064	0.999770953026283	0.835220461480831	5	0.005X	128	NA	NA	3	dgrp
X	474612	464181	0.978022047482997	0.83192693419474	5	0.005X	128	NA	NA	3	dgrp
2L	845003	843831	0.998613022675659	0.82646199079976	6	0.005X	128	NA	NA	3	dgrp
2R	685012	684045	0.99858834589759	0.830979456130339	6	0.005X	128	NA	NA	3	dgrp
3L	862142	856057	0.992941997953933	0.830636548903963	6	0.005X	128	NA	NA	3	dgrp
3R	850567	850329	0.999720186651963	0.834514177377084	6	0.005X	128	NA	NA	3	dgrp
X	492590	491571	0.997931342495788	0.828248240157428	6	0.005X	128	NA	NA	3	dgrp
2L	860750	853362	0.991416787685158	0.8257414303621	7	0.005X	128	NA	NA	3	dgrp
2R	689803	683196	0.990421903065078	0.832367421730675	7	0.005X	128	NA	NA	3	dgrp
3L	841476	835998	0.993490010410279	0.832910569816907	7	0.005X	128	NA	NA	3	dgrp
3R	852333	848875	0.995942900251428	0.834085052028985	7	0.005X	128	NA	NA	3	dgrp
X	494592	0	0	0.828934081479698	7	0.005X	128	NA	NA	3	dgrp
2L	859292	849908	0.989079381630459	0.824897152652552	8	0.005X	128	NA	NA	3	dgrp
2R	700764	700764	1	0.828711976467359	8	0.005X	128	NA	NA	3	dgrp
3L	817748	812373	0.993427070442239	0.840658846743742	8	0.005X	128	NA	NA	3	dgrp
3R	851297	846515	0.99438268900278	0.83495848569229	8	0.005X	128	NA	NA	3	dgrp
X	497068	0	0	0.82863970526544	8	0.005X	128	NA	NA	3	dgrp
2L	870438	862283	0.990631153511221	0.822398184745284	9	0.005X	128	NA	NA	3	dgrp
2R	689870	685779	0.994069897227014	0.832660864283191	9	0.005X	128	NA	NA	3	dgrp
3L	867303	860441	0.992088116840366	0.829502676861204	9	0.005X	128	NA	NA	3	dgrp
3R	857899	846986	0.98727938836623	0.833298364274501	9	0.005X	128	NA	NA	3	dgrp
X	485552	483536	0.995848024516427	0.829734105480311	9	0.005X	128	NA	NA	3	dgrp
2L	837403	831580	0.993046358802154	0.82436084486104	10	0.005X	128	NA	NA	3	dgrp
2R	689878	687354	0.996341382099444	0.827996743052908	10	0.005X	128	NA	NA	3	dgrp
3L	868117	864733	0.99610190792255	0.830275667941366	10	0.005X	128	NA	NA	3	dgrp
3R	857969	852819	0.993997452122396	0.83360937957273	10	0.005X	128	NA	NA	3	dgrp
X	493452	491255	0.995547692582055	0.829584497709351	10	0.005X	128	NA	NA	3	dgrp
2L	870826	865265	0.993614108903501	0.823821151829216	1	0.005X	128	NA	NA	4	dgrp
2R	711102	705587	0.992244431881783	0.826825092581402	1	0.005X	128	NA	NA	4	dgrp
3L	838000	831969	0.992803102625298	0.833423432382829	1	0.005X	128	NA	NA	4	dgrp
3R	822692	813642	0.98899952837757	0.840108081435735	1	0.005X	128	NA	NA	4	dgrp
X	486228	484510	0.996466678183897	0.831202413527161	1	0.005X	128	NA	NA	4	dgrp
2L	867905	860196	0.991117691452405	0.822277400180233	2	0.005X	128	NA	NA	4	dgrp
2R	709882	707038	0.995993700361469	0.825889368388144	2	0.005X	128	NA	NA	4	dgrp
3L	875471	873965	0.998279783111034	0.828594373917016	2	0.005X	128	NA	NA	4	dgrp
3R	867857	855376	0.985618598455736	0.831852666373395	2	0.005X	128	NA	NA	4	dgrp
X	483722	482915	0.998331686381847	0.830085135954926	2	0.005X	128	NA	NA	4	dgrp
2L	870125	865078	0.994199683953455	0.823595519852348	3	0.005X	128	NA	NA	4	dgrp
2R	702990	689939	0.981435013300331	0.828381542477816	3	0.005X	128	NA	NA	4	dgrp
3L	844807	844807	1	0.833380388651601	3	0.005X	128	NA	NA	4	dgrp
3R	840068	839797	0.999677407067047	0.83582589018725	3	0.005X	128	NA	NA	4	dgrp
X	490128	488148	0.995960238957986	0.829810778828462	3	0.005X	128	NA	NA	4	dgrp
2L	884138	877043	0.991975234635317	0.821619452462538	4	0.005X	128	NA	NA	4	dgrp
2R	696803	690327	0.99070612497363	0.830118337913655	4	0.005X	128	NA	NA	4	dgrp
3L	853287	847240	0.992913287088635	0.831994538411105	4	0.005X	128	NA	NA	4	dgrp
3R	856008	848390	0.991100550462145	0.834005161405705	4	0.005X	128	NA	NA	4	dgrp
X	492051	491838	0.999567118042642	0.828831491590478	4	0.005X	128	NA	NA	4	dgrp
2L	877687	870896	0.992262617539054	0.82270081061852	5	0.005X	128	NA	NA	4	dgrp
2R	695746	693918	0.997372604369986	0.831654253817761	5	0.005X	128	NA	NA	4	dgrp
3L	842270	841240	0.998777114227029	0.833420193748546	5	0.005X	128	NA	NA	4	dgrp
3R	847453	846208	0.99853089197867	0.83481711471928	5	0.005X	128	NA	NA	4	dgrp
X	498914	496637	0.995436087181358	0.828280018544793	5	0.005X	128	NA	NA	4	dgrp
2L	865114	854961	0.988263974458857	0.823664234457124	6	0.005X	128	NA	NA	4	dgrp
2R	704303	702940	0.998064753380292	0.82741387866369	6	0.005X	128	NA	NA	4	dgrp
3L	850777	833599	0.979809045143439	0.831794200500219	6	0.005X	128	NA	NA	4	dgrp
3R	852923	851768	0.998645833211204	0.834206930667412	6	0.005X	128	NA	NA	4	dgrp
X	497524	0	0	0.827796770521571	6	0.005X	128	NA	NA	4	dgrp
2L	871921	859062	0.985252104261739	0.823675077662855	7	0.005X	128	NA	NA	4	dgrp
2R	708320	703024	0.992523153377005	0.827654069447097	7	0.005X	128	NA	NA	4	dgrp
3L	863100	862320	0.999096280848106	0.830829024473639	7	0.005X	128	NA	NA	4	dgrp
3R	851548	847846	0.995652623222649	0.835002935132081	7	0.005X	128	NA	NA	4	dgrp
X	498446	497128	0.99735578176974	0.828422171084501	7	0.005X	128	NA	NA	4	dgrp
2L	879729	851025	0.967371770170132	0.822105995018114	8	0.005X	128	NA	NA	4	dgrp
2R	702601	698089	0.993578147483422	0.827310110966772	8	0.005X	128	NA	NA	4	dgrp
3L	855469	853377	0.997554557792275	0.832481118243068	8	0.005X	128	NA	NA	4	dgrp
3R	850681	847536	0.996302961979873	0.835057980713515	8	0.005X	128	NA	NA	4	dgrp
X	498467	0	0	0.827906276373515	8	0.005X	128	NA	NA	4	dgrp
2L	875842	856893	0.978364819225385	0.822913615376303	9	0.005X	128	NA	NA	4	dgrp
2R	709619	699475	0.985705005080191	0.827066024175607	9	0.005X	128	NA	NA	4	dgrp
3L	840078	836673	0.995946804939541	0.832924418562105	9	0.005X	128	NA	NA	4	dgrp
3R	844219	841033	0.996226097730565	0.835354665331196	9	0.005X	128	NA	NA	4	dgrp
X	489904	486731	0.993523220875927	0.831460855325523	9	0.005X	128	NA	NA	4	dgrp
2L	828282	828282	1	0.830946329414367	10	0.005X	128	NA	NA	4	dgrp
2R	694316	687771	0.990573456466508	0.829767454149301	10	0.005X	128	NA	NA	4	dgrp
3L	862116	862116	1	0.830954720680743	10	0.005X	128	NA	NA	4	dgrp
3R	854732	850968	0.99559628047154	0.833899314799292	10	0.005X	128	NA	NA	4	dgrp
X	483508	482471	0.997855257824069	0.829889923606501	10	0.005X	128	NA	NA	4	dgrp
2L	869784	860903	0.989789418982184	0.823353533856442	1	0.005X	128	NA	NA	5	dgrp
2R	705501	696731	0.987569117549089	0.827416622141852	1	0.005X	128	NA	NA	5	dgrp
3L	862033	862006	0.999968678693275	0.8298420958677	1	0.005X	128	NA	NA	5	dgrp
3R	859213	847986	0.986933391370941	0.833530276318933	1	0.005X	128	NA	NA	5	dgrp
X	493010	0	0	0.829230346163412	1	0.005X	128	NA	NA	5	dgrp
2L	859045	853357	0.993378693782049	0.825580909764281	2	0.005X	128	NA	NA	5	dgrp
2R	706371	689565	0.976207970032745	0.828078469505004	2	0.005X	128	NA	NA	5	dgrp
3L	857723	857723	1	0.832004481275692	2	0.005X	128	NA	NA	5	dgrp
3R	848205	847261	0.998887061500463	0.835116791856867	2	0.005X	128	NA	NA	5	dgrp
X	492406	0	0	0.828789331457229	2	0.005X	128	NA	NA	5	dgrp
2L	838663	838011	0.999222572117764	0.829174792997607	3	0.005X	128	NA	NA	5	dgrp
2R	696992	694699	0.996710148753501	0.831083861344508	3	0.005X	128	NA	NA	5	dgrp
3L	824814	821877	0.996439197200823	0.838852868652844	3	0.005X	128	NA	NA	5	dgrp
3R	829328	827739	0.998083990893832	0.8389533860494	3	0.005X	128	NA	NA	5	dgrp
X	488399	487459	0.998075344134611	0.831067378495047	3	0.005X	128	NA	NA	5	dgrp
2L	870083	857125	0.985107167936852	0.822959016678926	4	0.005X	128	NA	NA	5	dgrp
2R	703720	694571	0.986999090547377	0.827220604950594	4	0.005X	128	NA	NA	5	dgrp
3L	854673	853595	0.998738698894197	0.830806855490334	4	0.005X	128	NA	NA	5	dgrp
3R	849032	846096	0.996541944237673	0.833938328310947	4	0.005X	128	NA	NA	5	dgrp
X	497652	0	0	0.828413408508086	4	0.005X	128	NA	NA	5	dgrp
2L	883042	879635	0.9961417463722	0.821636221475637	5	0.005X	128	NA	NA	5	dgrp
2R	713506	707696	0.991857111222611	0.826276324615863	5	0.005X	128	NA	NA	5	dgrp
3L	870795	864963	0.993302671696553	0.829450604992976	5	0.005X	128	NA	NA	5	dgrp
3R	865550	862204	0.996134249898908	0.831853326350373	5	0.005X	128	NA	NA	5	dgrp
X	495013	0	0	0.828334365951833	5	0.005X	128	NA	NA	5	dgrp
2L	863101	863056	0.999947862417029	0.824120278804641	6	0.005X	128	NA	NA	5	dgrp
2R	692768	684021	0.987373839438311	0.830077810163947	6	0.005X	128	NA	NA	5	dgrp
3L	834080	825811	0.990086082869749	0.836400100772072	6	0.005X	128	NA	NA	5	dgrp
3R	841078	841078	1	0.836250984676499	6	0.005X	128	NA	NA	5	dgrp
X	496195	492824	0.993206299942563	0.827970872388651	6	0.005X	128	NA	NA	5	dgrp
2L	863040	859318	0.995687337782722	0.824010935658751	7	0.005X	128	NA	NA	5	dgrp
2R	695289	687062	0.988167510200794	0.829147672750097	7	0.005X	128	NA	NA	5	dgrp
3L	824643	816552	0.990188481561112	0.83808420873002	7	0.005X	128	NA	NA	5	dgrp
3R	834942	834923	0.999977243928321	0.838336151433916	7	0.005X	128	NA	NA	5	dgrp
X	489195	476026	0.973080264516195	0.83071489670112	7	0.005X	128	NA	NA	5	dgrp
2L	869719	859032	0.987712123111028	0.823699594310738	8	0.005X	128	NA	NA	5	dgrp
2R	698480	690049	0.987929504065972	0.830488114108585	8	0.005X	128	NA	NA	5	dgrp
3L	855066	847484	0.991132848224581	0.831776327782226	8	0.005X	128	NA	NA	5	dgrp
3R	848171	848171	1	0.834875736133355	8	0.005X	128	NA	NA	5	dgrp
X	484377	0	0	0.830627030146232	8	0.005X	128	NA	NA	5	dgrp
2L	861915	855714	0.992805555072136	0.825412475949373	9	0.005X	128	NA	NA	5	dgrp
2R	663243	663125	0.999822086324319	0.840699497224718	9	0.005X	128	NA	NA	5	dgrp
3L	851533	850331	0.998588428164264	0.832488248426955	9	0.005X	128	NA	NA	5	dgrp
3R	858004	857023	0.998856648686952	0.833317217994533	9	0.005X	128	NA	NA	5	dgrp
X	498028	0	0	0.828177933641423	9	0.005X	128	NA	NA	5	dgrp
2L	856192	855858	0.999609900583047	0.824452899062382	10	0.005X	128	NA	NA	5	dgrp
2R	686014	684602	0.997941732967549	0.833567648928499	10	0.005X	128	NA	NA	5	dgrp
3L	835975	834157	0.997825293818595	0.836895279416577	10	0.005X	128	NA	NA	5	dgrp
3R	833143	824628	0.98977966567564	0.836775396396326	10	0.005X	128	NA	NA	5	dgrp
X	495079	0	0	0.828242467698104	10	0.005X	128	NA	NA	5	dgrp
2L	844003	843550	0.999463272049981	0.824631652524157	1	0.005X	128	NA	NA	6	dgrp
2R	703018	699274	0.994674389560438	0.826997935623838	1	0.005X	128	NA	NA	6	dgrp
3L	870185	865339	0.994431069255388	0.829584127445139	1	0.005X	128	NA	NA	6	dgrp
